,SKU_ID,img_url
109,2049113,https://images.ulta.com/is/image/Ulta/2049113
110,2049129,https://images.ulta.com/is/image/Ulta/2049129
111,2049501,https://images.ulta.com/is/image/Ulta/2049501
112,2049502,https://images.ulta.com/is/image/Ulta/2049502
113,2050103,https://images.ulta.com/is/image/Ulta/2050103
114,2050104,https://images.ulta.com/is/image/Ulta/2050104
115,2050417,https://images.ulta.com/is/image/Ulta/2050417
116,2051371,https://images.ulta.com/is/image/Ulta/2051371
117,2052572,https://images.ulta.com/is/image/Ulta/2052572
118,2054629,https://images.ulta.com/is/image/Ulta/2054629
119,2056401,https://images.ulta.com/is/image/Ulta/2056401
120,2056402,https://images.ulta.com/is/image/Ulta/2056402
121,2056976,https://images.ulta.com/is/image/Ulta/2056976
122,2057067,https://images.ulta.com/is/image/Ulta/2057067
123,2057182,https://images.ulta.com/is/image/Ulta/2057182
124,2057849,https://images.ulta.com/is/image/Ulta/2057849
125,2058032,https://images.ulta.com/is/image/Ulta/2058032
126,2058041,https://images.ulta.com/is/image/Ulta/2058041
127,2058304,https://images.ulta.com/is/image/Ulta/2058304
128,2058337,https://images.ulta.com/is/image/Ulta/2058337
129,2058338,https://images.ulta.com/is/image/Ulta/2058338
130,2058341,https://images.ulta.com/is/image/Ulta/2058341
131,2058342,https://images.ulta.com/is/image/Ulta/2058342
132,2058343,https://images.ulta.com/is/image/Ulta/2058343
133,2058344,https://images.ulta.com/is/image/Ulta/2058344
134,2058345,https://images.ulta.com/is/image/Ulta/2058345
135,2058346,https://images.ulta.com/is/image/Ulta/2058346
136,2058347,https://images.ulta.com/is/image/Ulta/2058347
137,2058350,https://images.ulta.com/is/image/Ulta/2058350
138,2058351,https://images.ulta.com/is/image/Ulta/2058351
139,2058353,https://images.ulta.com/is/image/Ulta/2058353
140,2058416,https://images.ulta.com/is/image/Ulta/2058416
141,2058783,https://images.ulta.com/is/image/Ulta/2058783
142,2058785,https://images.ulta.com/is/image/Ulta/2058785
143,2060860,https://images.ulta.com/is/image/Ulta/2060860
144,2060864,https://images.ulta.com/is/image/Ulta/2060864
145,2061206,https://images.ulta.com/is/image/Ulta/2061206
146,2064468,https://images.ulta.com/is/image/Ulta/2064468
147,2064469,https://images.ulta.com/is/image/Ulta/2064469
148,2064470,https://images.ulta.com/is/image/Ulta/2064470
149,2064729,https://images.ulta.com/is/image/Ulta/2064729
150,2065413,https://images.ulta.com/is/image/Ulta/2065413
151,2065923,https://images.ulta.com/is/image/Ulta/2065923
152,2065928,https://images.ulta.com/is/image/Ulta/2065928
153,2066561,https://images.ulta.com/is/image/Ulta/2066561
154,2066722,https://images.ulta.com/is/image/Ulta/2066722
155,2066723,https://images.ulta.com/is/image/Ulta/2066723
156,2066724,https://images.ulta.com/is/image/Ulta/2066724
157,2068203,https://images.ulta.com/is/image/Ulta/2068203
158,2068310,https://images.ulta.com/is/image/Ulta/2068310
159,2068350,https://images.ulta.com/is/image/Ulta/2068350
160,2068360,https://images.ulta.com/is/image/Ulta/2068360
161,2068362,https://images.ulta.com/is/image/Ulta/2068362
162,2068408,https://images.ulta.com/is/image/Ulta/2068408
163,2068411,https://images.ulta.com/is/image/Ulta/2068411
164,2068413,https://images.ulta.com/is/image/Ulta/2068413
165,2068540,https://images.ulta.com/is/image/Ulta/2068540
166,2068664,https://images.ulta.com/is/image/Ulta/2068664
167,2069543,https://images.ulta.com/is/image/Ulta/2069543
168,2070018,https://images.ulta.com/is/image/Ulta/2070018
